ID,最近一次使用消费券的折扣,历史使用优惠券折扣的最大值,历史购买总次数,最近一次消费金额,历史消费金额的平均值,历史使用优惠券的频率,历史使用优惠券的总次数,历史购买产品数量,最近一次购买宝贝数量,Action,next.1,next.2,next.3,next.4,next.5,next.6,next.7,next.8,next.9,Reward
2.0,1.0,4.0,34.0,399.0,189.5764705882353,1.0,34.0,39.0,1.0,2.0,2.0,4.0,35.0,399.0,195.56,1.0,35.0,40.0,1.0,306.96
2.0,2.0,4.0,35.0,399.0,195.56,1.0,35.0,40.0,1.0,2.0,2.0,4.0,36.0,108.0,193.1277777777778,1.0,36.0,41.0,2.0,68.0
2.0,2.0,4.0,36.0,108.0,193.1277777777778,1.0,36.0,41.0,2.0,2.0,2.0,4.0,37.0,199.0,193.2864864864865,1.0,37.0,43.0,1.0,133.86
2.0,2.0,4.0,37.0,199.0,193.2864864864865,1.0,37.0,43.0,1.0,2.0,2.0,4.0,38.0,199.0,193.43684210526317,1.0,38.0,44.0,1.0,138.0
2.0,2.0,4.0,38.0,199.0,193.43684210526317,1.0,38.0,44.0,1.0,1.0,1.0,4.0,39.0,399.0,198.70769230769233,1.0,39.0,45.0,2.0,366.25
2.0,1.0,4.0,39.0,399.0,198.70769230769233,1.0,39.0,45.0,2.0,3.0,3.0,4.0,40.0,187.9,198.4375,1.0,40.0,47.0,2.0,99.8
2.0,3.0,4.0,40.0,187.9,198.4375,1.0,40.0,47.0,2.0,2.0,2.0,4.0,41.0,108.0,196.23170731707316,1.0,41.0,49.0,1.0,68.0
2.0,2.0,4.0,41.0,108.0,196.23170731707316,1.0,41.0,49.0,1.0,2.0,2.0,4.0,42.0,199.0,196.29761904761904,1.0,42.0,50.0,1.0,138.0
2.0,2.0,4.0,42.0,199.0,196.29761904761904,1.0,42.0,50.0,1.0,0.0,0.0,4.0,43.0,187.9,196.10232558139535,1.0,43.0,51.0,1.0,0.0
2.0,0.0,4.0,43.0,187.9,196.10232558139535,1.0,43.0,51.0,1.0,0.0,0.0,4.0,44.0,187.9,195.91590909090908,1.0,44.0,52.0,2.0,0.0
2.0,0.0,4.0,44.0,187.9,195.91590909090908,1.0,44.0,52.0,2.0,2.0,2.0,4.0,45.0,108.0,193.9622222222222,1.0,45.0,54.0,1.0,68.0
2.0,2.0,4.0,45.0,108.0,193.9622222222222,1.0,45.0,54.0,1.0,1.0,1.0,4.0,46.0,399.0,198.4195652173913,1.0,46.0,55.0,2.0,368.0
2.0,1.0,4.0,46.0,399.0,198.4195652173913,1.0,46.0,55.0,2.0,2.0,2.0,4.0,47.0,108.0,196.49574468085106,1.0,47.0,57.0,1.0,68.0
2.0,2.0,4.0,47.0,108.0,196.49574468085106,1.0,47.0,57.0,1.0,3.0,3.0,4.0,48.0,108.0,194.6520833333333,1.0,48.0,58.0,2.0,57.85
2.0,3.0,4.0,48.0,108.0,194.6520833333333,1.0,48.0,58.0,2.0,4.0,3.0,4.0,48.0,108.0,194.6520833333333,1.0,48.0,58.0,1.0,0.0
2.0,3.0,4.0,48.0,108.0,194.6520833333333,1.0,48.0,58.0,1.0,0.0,0.0,4.0,49.0,187.9,194.5142857142857,1.0,49.0,59.0,2.0,0.0
2.0,0.0,4.0,49.0,187.9,194.5142857142857,1.0,49.0,59.0,2.0,1.0,1.0,4.0,50.0,399.0,198.60399999999998,1.0,50.0,61.0,2.0,366.25
2.0,1.0,4.0,50.0,399.0,198.60399999999998,1.0,50.0,61.0,2.0,1.0,1.0,4.0,51.0,399.0,202.5333333333333,1.0,51.0,63.0,1.0,368.0
2.0,1.0,4.0,51.0,399.0,202.5333333333333,1.0,51.0,63.0,1.0,2.0,2.0,4.0,52.0,108.0,200.7153846153846,1.0,52.0,64.0,1.0,68.0
2.0,2.0,4.0,52.0,108.0,200.7153846153846,1.0,52.0,64.0,1.0,2.0,2.0,4.0,53.0,108.0,198.96603773584903,1.0,53.0,65.0,1.0,68.0
2.0,2.0,4.0,53.0,108.0,198.96603773584903,1.0,53.0,65.0,1.0,3.0,3.0,4.0,54.0,187.9,198.7611111111111,1.0,54.0,66.0,1.0,80.9
2.0,3.0,4.0,54.0,187.9,198.7611111111111,1.0,54.0,66.0,1.0,2.0,2.0,4.0,55.0,250.1,199.69454545454545,1.0,55.0,67.0,1.0,168.72
2.0,2.0,4.0,55.0,250.1,199.69454545454545,1.0,55.0,67.0,1.0,0.0,0.0,4.0,56.0,187.9,199.48392857142855,1.0,56.0,68.0,1.0,0.0
2.0,0.0,4.0,56.0,187.9,199.48392857142855,1.0,56.0,68.0,1.0,2.0,2.0,4.0,57.0,108.0,197.87894736842102,1.0,57.0,69.0,1.0,68.0
2.0,2.0,4.0,57.0,108.0,197.87894736842102,1.0,57.0,69.0,1.0,2.0,2.0,4.0,58.0,199.0,197.89827586206894,1.0,58.0,70.0,1.0,133.86
2.0,2.0,4.0,58.0,199.0,197.89827586206894,1.0,58.0,70.0,1.0,1.0,1.0,4.0,59.0,399.0,201.30677966101692,1.0,59.0,71.0,1.0,366.25
2.0,1.0,4.0,59.0,399.0,201.30677966101692,1.0,59.0,71.0,1.0,3.0,1.0,4.0,59.0,399.0,201.30677966101692,1.0,59.0,71.0,1.0,0.0
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,1.0,299.0,299.0,1.0,1.0,1.0,2.0,179.8
3.0,2.0,2.0,1.0,299.0,299.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,299.0,299.0,1.0,2.0,3.0,1.0,179.8
3.0,2.0,2.0,2.0,299.0,299.0,1.0,2.0,3.0,1.0,3.0,3.0,3.0,3.0,187.9,261.96666666666664,1.0,3.0,4.0,1.0,99.8
3.0,3.0,3.0,3.0,187.9,261.96666666666664,1.0,3.0,4.0,1.0,2.0,2.0,3.0,4.0,299.0,271.225,1.0,4.0,5.0,1.0,179.8
3.0,2.0,3.0,4.0,299.0,271.225,1.0,4.0,5.0,1.0,2.0,2.0,3.0,5.0,299.0,276.78000000000003,1.0,5.0,6.0,1.0,179.8
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,1.0,108.0,108.0,1.0,1.0,2.0,1.0,68.0
4.0,2.0,2.0,1.0,108.0,108.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,2.0,187.9,147.95,1.0,2.0,3.0,1.0,99.8
